Имя,Тип,Артикул,Опубликован,Видимость в каталоге,Наличие,Категории,Название атрибута 4,Значения атрибутов 4,Название атрибута 12,Значения атрибутов 12,Название атрибута 23,Значения атрибутов 23,Название атрибута 3,Значения атрибутов 3,Название атрибута 1,Значения атрибутов 1,Название атрибута 2,Значения атрибутов 2,Название атрибута 5,Значения атрибутов 5,Название атрибута 6,Значения атрибутов 6,Название атрибута 7,Значения атрибутов 7,Название атрибута 9,Значения атрибутов 9,Название атрибута 10,Значения атрибутов 10,Название атрибута 11,Значения атрибутов 11,Название атрибута 13,Значения атрибутов 13,Название атрибута 14,Значения атрибутов 14,Название атрибута 15,Значения атрибутов 15,Название атрибута 16,Значения атрибутов 16,Название атрибута 17,Значения атрибутов 17,Название атрибута 18,Значения атрибутов 18,Название атрибута 19,Значения атрибутов 19,Название атрибута 20,Значения атрибутов 20,Название атрибута 21,Значения атрибутов 21,Название атрибута 22,Значения атрибутов 22,Название атрибута 24,Значения атрибутов 24,Название атрибута 25,Значения атрибутов 25,Название атрибута 26,Значения атрибутов 26
Dino Lift 180 XT,simple,15,1,visible,1,"Misc, Прицепные, Коленчатые, Электрические",Вид подъемника,Прицепной,Рабочая высота,18 м,Тип двигателя,Электрический,Вес,2315 кг,Аккумуляторы,,Бренд,DinoLift,Внешний радиус поворота,,Внутренний радиус поворота,,Вращение,360°,Горизонтальный вылет,10.9 м,Высота техники,"2,3 м",Высота подъема платформы,16 м,Объем бака гидравлической жидкости,,Грузоподъемность,215 кг,Двигатель,Electric motor 110/230 VAC,Длина,"6,66 м",Дорожный просвет,23 см,Колесная база,,Преодолеваемый подъем,25%,Габариты платформы,0.7 х 1.3 м,Скорость,,Страна,Финляндия,Объем топливного бака,,Шины,Дорожные,Ширина,"1,95 м"
Genie Z33/18,simple,20,1,visible,1,"Misc, Коленчатые, Электрические, Самоходные",Вид подъемника,Коленчатый,Рабочая высота,12 м,Тип двигателя,Электрический,Вес,3665 кг,Аккумуляторы,,Бренд,Genie,Внешний радиус поворота,3.07 м,Внутренний радиус поворота,1.9 м,Вращение,"400°, платформа на 180",Горизонтальный вылет,"5,57 м",Высота техники,1.98 м,Высота подъема платформы,10 м,Объем бака гидравлической жидкости,20.8 л,Грузоподъемность,200 кг,Двигатель,48 В пост. тока (восемь аккумуляторных батарей 6 В емкостью 315 А/ч),Длина,"4,17 м",Дорожный просвет,"15,2 см",Колесная база,"1,9 м",Преодолеваемый подъем,30%,Габариты платформы,"0,76 x 1,17 м",Скорость,6 км/ч,Страна,США,Объем топливного бака,нет,Шины,"сплошные, не оставляющие следов 56x23x44 см",Ширина,"1,5 м"
Genie Z-45/25 RT,simple,17,1,visible,1,"Misc, Коленчатые, Дизельные, Самоходные",Вид подъемника,Коленчатый,Рабочая высота,"15,86 м",Тип двигателя,Дизельный,Вес,6415 кг,Аккумуляторы,,Бренд,Genie,Внешний радиус поворота,"4,5 м",Внутренний радиус поворота,"1,68 м",Вращение,"180° платформа, непрерывный круг 355",Горизонтальный вылет,7.52 м,Высота техники,2 м,Высота подъема платформы,"13,86 м",Объем бака гидравлической жидкости,83 л,Грузоподъемность,227 кг,Двигатель,"Deutz D2011L03i 3-цилиндровый дизельный 35,8 кВт (48 л.с.)",Длина,"6,55 м",Дорожный просвет,"0,37 м",Колесная база,"2,03 м",Преодолеваемый подъем,30%,Габариты платформы,"0,76 м Х 1,83 м",Скорость,4.8 км/ч,Страна,США,Объем топливного бака,"64,4 л",Шины,135/55 D20,Ширина,"1,83 м"
Genie Z-45/25J DC,simple,18,1,visible,1,"Misc, Коленчатые, Электрические, Самоходные",Вид подъемника,Коленчатый,Рабочая высота,"15,94 м",Тип двигателя,Электрический,Вес,7394 кг,Аккумуляторы,"8 аккумуляторных батарей 6 В емкостью 350 А/ч) B, пост. тока",Бренд,Genie,Внешний радиус поворота,"4,3 м",Внутренний радиус поворота,"1,8 м",Вращение,"160°, непрерывный круг 355",Горизонтальный вылет,7.65 м,Высота техники,2 м,Высота подъема платформы,"13,94 м",Объем бака гидравлической жидкости,,Грузоподъемность,227 кг,Двигатель,"Модель DC - восемь аккумуляторных батарей 6 В емкостью 350 А/ч) B, пост. тока
Модель Bi-Energy - (восемь аккумуляторных батарей 6 В емкостью 350 А/ч), 48 В пост. тока и дизельный двигатель Kubota 9,9 кВт, Л/С.",Длина,"6,83 м",Дорожный просвет,"0,24 м",Колесная база,"2,03 м",Преодолеваемый подъем,30%,Габариты платформы,"0,76 м Х 1,83 м",Скорость,4.8 км/ч,Страна,США,Объем топливного бака,"64,4 л",Шины,23 x 37 см пенозаполненные,Ширина,"1,83 м"
Genie Z-51/30J RT,simple,19,1,visible,1,"Misc, Коленчатые, Дизельные, Самоходные",Вид подъемника,Коленчатый,Рабочая высота,"17,59 м",Тип двигателя,Дизельный,Вес,7213 кг,Аккумуляторы,,Бренд,Genie,Внешний радиус поворота,"4,5 м",Внутренний радиус поворота,"1,7 м",Вращение,160°,Горизонтальный вылет,9.37 м,Высота техники,2 м,Высота подъема платформы,"15,59 м",Объем бака гидравлической жидкости,"90,9 л",Грузоподъемность,227 кг,Двигатель,"дизельный -  3-цилиндровый дизель Deutz D2011L03i

Мощностью 35,8 кВт, Л/С",Длина,"7,58 м",Дорожный просвет,"0,39 м",Колесная база,"2,03 м",Преодолеваемый подъем,45%,Габариты платформы,"0,76 м Х 1,83 м",Скорость,4.8 км/ч,Страна,США,Объем топливного бака,"64,4 л",Шины,135/55 D625 пенозаполненные,Ширина,"2,29 м"
Haulotte HA 12IP,simple,31,1,visible,1,"Misc, Коленчатые, Электрические, Самоходные",Вид подъемника,Коленчатый,Рабочая высота,12 м,Тип двигателя,Электрический,Вес,5900 кг,Аккумуляторы,48В 360 Ah,Бренд,Haulotte,Внешний радиус поворота,"2,4 м",Внутренний радиус поворота,2 м,Вращение,"180°, непрерывный круг 359",Горизонтальный вылет,6.50 м,Высота техники,2.06 м,Высота подъема платформы,10 м,Объем бака гидравлической жидкости,30 л,Грузоподъемность,230 кг,Двигатель,48 V - 345 Ah (C5),Длина,"5,5 м",Дорожный просвет,16 см,Колесная база,"1,8 м",Преодолеваемый подъем,45%,Габариты платформы,"1,2 x 0,8 м",Скорость,0.7 - 4.5 км/ч,Страна,Франция,Объем топливного бака,,Шины,10-16.5 с пенным наполнением,Ширина,"1,35 м"
Haulotte H15SX,simple,29,1,visible,1,"Misc, Ножничные, Электрические, Самоходные",Вид подъемника,Ножничный,Рабочая высота,15 м,Тип двигателя,Дизельный,Вес,5900 кг,Аккумуляторы,12 В - 95 А.ч. ,Бренд,Haulotte,Внешний радиус поворота,4.96 м,Внутренний радиус поворота,2 м,Вращение,170°,Горизонтальный вылет,нет,Высота техники,1.91 м,Высота подъема платформы,13 м,Объем бака гидравлической жидкости,100 л,Грузоподъемность,700 кг,Двигатель,"Hatz, 31.4 hp - 23.1 kW",Длина,"4,18 м",Дорожный просвет,35 см,Колесная база,2.75 м,Преодолеваемый подъем,45%,Габариты платформы,6 x 1.89 м,Скорость,1.6 - 6 км/ч,Страна,Франция,Объем топливного бака,65 л,Шины,10-16.5 с пенным наполнением,Ширина,"2,25 м"
Haulotte H18SX,simple,30,1,visible,1,"Misc, Ножничные, Дизельные, Самоходные",Вид подъемника,Ножничный,Рабочая высота,17 м,Тип двигателя,Дизельный,Вес,7300 кг,Аккумуляторы,,Бренд,Haulotte,Внешний радиус поворота,4.96 м,Внутренний радиус поворота,2 м,Вращение,170°,Горизонтальный вылет,нет,Высота техники,2.99 м,Высота подъема платформы,15 м,Объем бака гидравлической жидкости,100 л,Грузоподъемность,500 кг,Двигатель,Hatz 31.4 hp - 23.1 kW,Длина,"4,18 м",Дорожный просвет,35 см,Колесная база,2.75 м,Преодолеваемый подъем,45%,Габариты платформы,6 x 1.89 м,Скорость,1.6 - 6 км/ч,Страна,Франция,Объем топливного бака,65 л,Шины,10-16.5 с пенным наполнением,Ширина,"2,25 м"
Haulotte H12SX,simple,28,1,visible,1,"Misc, Ножничные, Дизельные, Самоходные",Вид подъемника,Ножничный,Рабочая высота,12 м,Тип двигателя,Дизельный,Вес,5440 кг,Аккумуляторы,,Бренд,Haulotte,Внешний радиус поворота,4.96 м,Внутренний радиус поворота,2 м,Вращение,170°,Горизонтальный вылет,нет,Высота техники,1.71 м,Высота подъема платформы,10 м,Объем бака гидравлической жидкости,100 л,Грузоподъемность,700 кг,Двигатель,Hatz 31.4 hp - 23.1 kW,Длина,"4,18 м",Дорожный просвет,35 см,Колесная база,2.75 м,Преодолеваемый подъем,45%,Габариты платформы,6 x 1.89 м,Скорость,"1,6-6,0 км/ч",Страна,Франция,Объем топливного бака,65 л,Шины,10-16.5 с пенным наполнением,Ширина,"2,25 м"
Haulotte HA 15IP,simple,32,1,visible,1,"Misc, Коленчатые, Электрические, Самоходные",Вид подъемника,Коленчатый,Рабочая высота,"14,87 м",Тип двигателя,Электрический,Вес,7300 кг,Аккумуляторы,48 V - 345 Ah (C5),Бренд,Haulotte,Внешний радиус поворота,3.95 м,Внутренний радиус поворота,2 м,Вращение,90°,Горизонтальный вылет,8.65 м,Высота техники,"1,99 м",Высота подъема платформы,"12,87 м",Объем бака гидравлической жидкости,30 л,Грузоподъемность,230 кг,Двигатель,48 V - 345 Ah (C5),Длина,"6,65 м",Дорожный просвет,14 см,Колесная база,2 м,Преодолеваемый подъем,45%,Габариты платформы,1.8 х 0.8 м,Скорость,"1,5 - 5,5 км/ч",Страна,Франция,Объем топливного бака,75 л,Шины,Внедорожные (с пенным наполнением),Ширина,"1,52 м"
